route_id,service_id,trip_id,trip_headsign,shape_id,block_id
CUMBERLAND,100005,CUMBERLAND_SaturdayT2_5:1279027:1284325,Cumberland,1000936,1284325
MONTREAL,100023,MONTREAL_WeekdayT1_15:1279037:1284340,Montreal,1000879,1284340
CUMBERLAND,100023,CUMBERLAND_WeekdayT1_7:1279039:1284277,Cumberland,1000936,1284277
SUNRISE,100023,SUNRISE_WeekdayT1_11:1279110:1284224,Sunrise,1000894,1284224
BROOKDALE,100023,BROOKDALE_WeekdayT1_23:1279206:1284290,Brookdale,1000974,1284290
MONTREAL,100023,MONTREAL_WeekdayT1_12:1279209:1284290,Montreal,1000879,1284290
SUNRISE,100023,SUNRISE_WeekdayT1_8:1279254:1284277,Sunrise,1000894,1284277
SUNRISE,100005,SUNRISE_SaturdayT3_5:1279256:1325800,Sunrise,1000894,1325800
MONTREAL,100005,MONTREAL_SaturdayT2_1:1279267:1284276,Montreal,1000879,1284276
BROOKDALE,100005,BROOKDALE_SaturdayT2_12:1279294:1284276,Brookdale,1000974,1284276
BROOKDALE,100023,BROOKDALE_WeekdayT2_3:1279324:1284340,Brookdale,1000974,1284340
CUMBERLAND,100005,CUMBERLAND_SaturdayT2_3:1279348:1284325,Cumberland,1000936,1284325
BROOKDALE,100005,BROOKDALE_SaturdayT3_2:1279370:1284426,Brookdale,1000974,1284426
SUNRISE,100023,SUNRISE_WeekdayT1_27:1279386:1284224,Sunrise,1002145,1284224
CUMBERLAND,100005,CUMBERLAND_SaturdayT2_6:1279389:1325800,Cumberland,1000936,1325800
CUMBERLAND,100005,CUMBERLAND_SaturdayT3_4:1279398:1325800,Cumberland,1000936,1325800
MONTREAL,100005,MONTREAL_SaturdayT3_3:1279403:1284426,Montreal,1000879,1284426
MONTREAL,100023,MONTREAL_WeekdayT1_19:1279430:1284340,Montreal,1000879,1284340
BROOKDALE,100023,BROOKDALE_WeekdayT1_2:1279480:1284340,Brookdale,1000974,1284340
BROOKDALE,100023,BROOKDALE_WeekdayT1_5:1279510:1284290,Brookdale,1000974,1284290
